Target Distance: 100, Step Size: 2
70: (x,y) = (16.8885,24.5743)
71: (x,y) = (17.7019,26.4014)
72: (x,y) = (15.7068,26.5409)
73: (x,y) = (14.7988,28.3229)
74: (x,y) = (13.1215,27.2336)
75: (x,y) = (12.4703,25.3426)
76: (x,y) = (11.3811,27.0199)
77: (x,y) = (10.5676,25.1928)
78: (x,y) = (8.57033,25.2975)
79: (x,y) = (9.90859,26.7838)
80: (x,y) = (8.04143,27.5005)
81: (x,y) = (6.55514,28.8388)
82: (x,y) = (6.72945,30.8312)
83: (x,y) = (5.11142,32.0067)
84: (x,y) = (4.7298,30.0435)
85: (x,y) = (5.78964,28.3474)
86: (x,y) = (6.75926,30.0966)
87: (x,y) = (5.06316,31.1565)
88: (x,y) = (4.64734,29.2002)
89: (x,y) = (6.61059,29.5818)
90: (x,y) = (6.5408,27.583)
91: (x,y) = (8.21814,28.6723)
92: (x,y) = (7.76823,26.7236)
93: (x,y) = (9.30032,25.438)
94: (x,y) = (11.1274,24.6245)
95: (x,y) = (9.2148,24.0398)
96: (x,y) = (9.66471,22.091)
97: (x,y) = (7.66745,21.9863)
98: (x,y) = (9.5993,22.504)
99: (x,y) = (8.56922,24.2183)
100: (x,y) = (10.2836,23.1882)
101: (x,y) = (8.75147,24.4738)
102: (x,y) = (6.77093,24.1955)
103: (x,y) = (8.68354,24.7802)
104: (x,y) = (7.39797,26.3123)
105: (x,y) = (7.50264,24.315)
106: (x,y) = (7.43284,22.3163)
107: (x,y) = (6.28569,23.9546)
108: (x,y) = (4.4063,24.6386)
109: (x,y) = (5.89259,23.3003)
110: (x,y) = (3.90355,23.5094)
111: (x,y) = (5.41297,22.1973)
112: (x,y) = (5.20391,24.1863)
113: (x,y) = (3.89179,25.6957)
114: (x,y) = (3.40795,27.6363)
115: (x,y) = (2.04395,26.1736)
116: (x,y) = (2.6287,28.0862)
117: (x,y) = (4.22597,29.2899)
118: (x,y) = (6.15782,29.8075)
119: (x,y) = (7.90706,28.8379)
120: (x,y) = (9.24532,30.3242)
121: (x,y) = (7.4327,31.1694)
122: (x,y) = (9.42783,31.3089)
123: (x,y) = (10.6034,29.6909)
124: (x,y) = (12.5597,29.2751)
125: (x,y) = (10.8636,28.2152)
126: (x,y) = (12.7955,28.7329)
127: (x,y) = (12.8304,26.7332)
128: (x,y) = (12.7257,24.7359)
129: (x,y) = (14.44,25.766)
130: (x,y) = (16.1174,26.8553)
131: (x,y) = (14.999,25.1972)
132: (x,y) = (16.4617,26.5612)
133: (x,y) = (16.357,28.5585)
134: (x,y) = (15.7723,26.6458)
135: (x,y) = (13.7872,26.8896)
136: (x,y) = (15.7762,27.0986)
137: (x,y) = (17.4343,28.217)
138: (x,y) = (18.4039,26.4678)
139: (x,y) = (19.9799,27.6991)
140: (x,y) = (18.5413,26.3098)
141: (x,y) = (20.4731,25.7922)
142: (x,y) = (19.1875,24.2601)
143: (x,y) = (20.7196,22.9745)
144: (x,y) = (19.8429,24.7721)
145: (x,y) = (18.0453,23.8953)
146: (x,y) = (19.0754,25.6097)
147: (x,y) = (20.045,27.3589)
148: (x,y) = (19.137,25.5769)
149: (x,y) = (19.6883,27.4994)
150: (x,y) = (21.3844,28.5593)
151: (x,y) = (19.4619,29.1105)
152: (x,y) = (18.1497,27.6011)
153: (x,y) = (18.0799,25.6023)
154: (x,y) = (19.982,24.9843)
155: (x,y) = (18.3848,23.7807)
156: (x,y) = (20.3653,23.5023)
157: (x,y) = (22.3626,23.3976)
158: (x,y) = (24.3623,23.4326)
159: (x,y) = (23.9806,21.4693)
160: (x,y) = (25.7465,22.4082)
161: (x,y) = (25.607,20.4131)
162: (x,y) = (27.5921,20.6569)
163: (x,y) = (28.7105,18.9988)
164: (x,y) = (27.4519,17.4445)
165: (x,y) = (26.1136,18.9308)
166: (x,y) = (25.2056,20.7128)
167: (x,y) = (24.1163,19.0354)
168: (x,y) = (25.6924,20.2668)
169: (x,y) = (26.3104,18.3647)
170: (x,y) = (24.6143,19.4245)
171: (x,y) = (24.336,17.444)
172: (x,y) = (24.4406,15.4467)
173: (x,y) = (26.3427,16.0647)
174: (x,y) = (24.8565,14.7265)
175: (x,y) = (24.5436,12.7511)
176: (x,y) = (23.1049,11.3618)
177: (x,y) = (23.4865,9.39853)
178: (x,y) = (25.0625,8.1672)
179: (x,y) = (26.9297,7.45047)
180: (x,y) = (25.5657,5.98776)
181: (x,y) = (24.1764,4.54908)
182: (x,y) = (22.5791,5.75271)
183: (x,y) = (24.2935,4.72263)
184: (x,y) = (26.2825,4.93169)
185: (x,y) = (25.1353,6.57)
186: (x,y) = (26.1952,8.26609)
187: (x,y) = (24.9096,6.734)
188: (x,y) = (23.8203,8.41134)
189: (x,y) = (24.5371,6.54418)
190: (x,y) = (23.2784,8.09848)
191: (x,y) = (25.1194,8.87994)
192: (x,y) = (23.2068,8.29519)
193: (x,y) = (25.1874,8.57354)
194: (x,y) = (26.8647,7.48426)
195: (x,y) = (27.6139,9.33863)
196: (x,y) = (26.0596,10.5973)
197: (x,y) = (27.5223,9.23327)
198: (x,y) = (25.5236,9.30307)
199: (x,y) = (23.5239,9.33798)
200: (x,y) = (22.6786,7.52536)
201: (x,y) = (24.3367,6.40698)
202: (x,y) = (24.615,8.38751)
203: (x,y) = (26.3294,9.41759)
204: (x,y) = (24.7113,8.24202)
205: (x,y) = (22.7162,8.38153)
206: (x,y) = (20.7937,8.93281)
207: (x,y) = (21.141,10.9024)
208: (x,y) = (22.873,9.90242)
209: (x,y) = (21.6694,11.4997)
210: (x,y) = (22.6995,13.214)
211: (x,y) = (20.7869,12.6293)
212: (x,y) = (19.3727,11.2151)
213: (x,y) = (19.8903,13.1469)
214: (x,y) = (21.4663,14.3782)
215: (x,y) = (20.235,12.8022)
216: (x,y) = (20.853,14.7043)
217: (x,y) = (20.6093,16.6894)
218: (x,y) = (22.4069,15.8127)
219: (x,y) = (20.475,15.295)
220: (x,y) = (22.2409,16.234)
221: (x,y) = (21.7571,18.1746)
222: (x,y) = (21.7222,20.1743)
223: (x,y) = (21.4438,22.1548)
224: (x,y) = (20.6946,24.0092)
225: (x,y) = (21.3787,22.1298)
226: (x,y) = (22.9547,23.3611)
227: (x,y) = (21.8075,24.9994)
228: (x,y) = (20.8379,26.7487)
229: (x,y) = (19.2199,25.5731)
230: (x,y) = (20.367,23.9348)
231: (x,y) = (22.3594,24.1091)
232: (x,y) = (23.535,25.7271)
233: (x,y) = (25.317,26.6351)
234: (x,y) = (25.2472,24.6363)
235: (x,y) = (25.2472,22.6363)
236: (x,y) = (25.7648,24.5682)
237: (x,y) = (26.3829,26.4703)
238: (x,y) = (24.8966,25.132)
239: (x,y) = (26.3108,26.5463)
240: (x,y) = (26.9619,28.4373)
241: (x,y) = (25.1643,29.314)
242: (x,y) = (24.2564,27.532)
243: (x,y) = (25.1643,25.75)
244: (x,y) = (24.7827,27.7133)
245: (x,y) = (25.1643,25.75)
246: (x,y) = (26.6738,27.0621)
247: (x,y) = (24.6887,27.3059)
248: (x,y) = (24.0046,25.4265)
249: (x,y) = (25.9365,25.9441)
250: (x,y) = (24.9669,24.1949)
251: (x,y) = (25.2797,22.2195)
252: (x,y) = (27.2551,21.9066)
253: (x,y) = (29.021,20.9677)
254: (x,y) = (28.3043,19.1005)
255: (x,y) = (30.1314,18.2871)
256: (x,y) = (28.742,19.7257)
257: (x,y) = (29.3268,17.8131)
258: (x,y) = (28.9452,19.7764)
259: (x,y) = (28.3939,17.8539)
260: (x,y) = (30.3164,18.4051)
261: (x,y) = (31.7057,19.8438)
262: (x,y) = (30.3936,21.3532)
263: (x,y) = (31.4535,19.6571)
264: (x,y) = (32.6006,18.0188)
265: (x,y) = (34.1549,19.2775)
266: (x,y) = (34.3292,21.2699)
267: (x,y) = (36.1964,21.9866)
268: (x,y) = (38.109,21.4018)
269: (x,y) = (39.3126,19.8046)
270: (x,y) = (40.1261,21.6317)
271: (x,y) = (41.2732,23.27)
272: (x,y) = (43.0553,22.362)
273: (x,y) = (41.0556,22.3271)
274: (x,y) = (43.0361,22.0487)
275: (x,y) = (43.5874,23.9713)
276: (x,y) = (45.4,23.126)
277: (x,y) = (45.2257,21.1336)
278: (x,y) = (44.4765,19.2793)
279: (x,y) = (43.0622,17.8651)
280: (x,y) = (43.4095,15.8954)
281: (x,y) = (42.1509,17.4497)
282: (x,y) = (44.0734,18.001)
283: (x,y) = (42.4554,19.1766)
284: (x,y) = (44.2374,18.2686)
285: (x,y) = (44.0631,16.2762)
286: (x,y) = (43.0631,18.0083)
287: (x,y) = (44.9303,17.2915)
288: (x,y) = (45.7755,19.1041)
289: (x,y) = (44.2661,17.792)
290: (x,y) = (43.7484,19.7239)
291: (x,y) = (45.1124,18.2612)
292: (x,y) = (43.5803,19.5467)
293: (x,y) = (42.462,17.8887)
294: (x,y) = (41.9443,15.9568)
295: (x,y) = (43.407,14.5928)
296: (x,y) = (41.7297,15.6821)
297: (x,y) = (43.6091,14.9981)
298: (x,y) = (45.4634,14.2488)
299: (x,y) = (44.1513,15.7583)
300: (x,y) = (42.2719,16.4423)
301: (x,y) = (42.5157,14.4572)
302: (x,y) = (43.5755,16.1533)
303: (x,y) = (42.2115,17.616)
304: (x,y) = (43.9436,16.616)
305: (x,y) = (44.3594,14.6597)
306: (x,y) = (44.7067,16.6293)
307: (x,y) = (45.8538,14.991)
308: (x,y) = (43.8687,14.7473)
309: (x,y) = (41.9894,14.0632)
310: (x,y) = (43.4521,15.4272)
311: (x,y) = (45.3192,14.7105)
312: (x,y) = (47.0336,13.6804)
313: (x,y) = (47.7503,11.8133)
314: (x,y) = (49.7427,11.639)
315: (x,y) = (47.7536,11.848)
316: (x,y) = (48.4704,13.7152)
317: (x,y) = (47.6251,15.5278)
318: (x,y) = (45.8431,16.4358)
319: (x,y) = (44.4538,17.8745)
320: (x,y) = (42.7046,16.9048)
321: (x,y) = (42.323,14.9416)
322: (x,y) = (42.4276,16.9388)
323: (x,y) = (44.3909,16.5572)
324: (x,y) = (46.376,16.801)
325: (x,y) = (48.2781,16.1829)
326: (x,y) = (49.4537,14.5649)
327: (x,y) = (51.2357,15.4729)
328: (x,y) = (49.3038,14.9552)
329: (x,y) = (47.4628,15.7367)
330: (x,y) = (45.6084,16.4859)
331: (x,y) = (47.6008,16.3116)
332: (x,y) = (48.7764,14.6936)
333: (x,y) = (48.8462,16.6923)
334: (x,y) = (50.8462,16.6923)
335: (x,y) = (51.0553,14.7033)
336: (x,y) = (53.0249,15.0506)
337: (x,y) = (54.3631,13.5643)
338: (x,y) = (54.2236,15.5594)
339: (x,y) = (54.9404,17.4266)
340: (x,y) = (53.1745,18.3655)
341: (x,y) = (51.7118,19.7295)
342: (x,y) = (52.059,17.7599)
343: (x,y) = (54.0441,17.5162)
344: (x,y) = (54.7934,19.3706)
345: (x,y) = (55.0024,17.3815)
346: (x,y) = (56.5567,18.6401)
347: (x,y) = (55.094,20.0041)
348: (x,y) = (56.8083,21.0342)
349: (x,y) = (54.8596,20.5843)
350: (x,y) = (53.2623,21.788)
351: (x,y) = (52.2623,20.0559)
352: (x,y) = (53.8804,18.8803)
353: (x,y) = (53.4645,20.8366)
354: (x,y) = (53.0829,22.7999)
355: (x,y) = (51.2419,22.0184)
356: (x,y) = (52.7046,20.6544)
357: (x,y) = (53.0519,18.6848)
358: (x,y) = (51.7663,17.1527)
359: (x,y) = (50.0004,18.0917)
360: (x,y) = (51.2591,16.5374)
361: (x,y) = (50.9118,14.5678)
362: (x,y) = (52.8028,15.2189)
363: (x,y) = (52.2852,13.287)
364: (x,y) = (54.2415,12.8712)
365: (x,y) = (53.5903,10.9802)
366: (x,y) = (55.053,12.3442)
367: (x,y) = (53.7675,10.8121)
368: (x,y) = (51.9404,9.99861)
369: (x,y) = (53.9158,10.3115)
370: (x,y) = (54.8854,8.56224)
371: (x,y) = (56.8805,8.42273)
372: (x,y) = (58.7826,9.04076)
373: (x,y) = (58.7128,11.0395)
374: (x,y) = (57.2265,9.70128)
375: (x,y) = (58.7359,8.38916)
376: (x,y) = (60.7165,8.66751)
377: (x,y) = (60.4036,6.69213)
378: (x,y) = (62.0997,5.63229)
379: (x,y) = (62.1346,3.6326)
380: (x,y) = (63.7927,2.51421)
381: (x,y) = (63.0435,4.36858)
382: (x,y) = (64.8706,5.18205)
383: (x,y) = (62.9685,5.80009)
384: (x,y) = (61.3104,4.6817)
385: (x,y) = (60.1632,6.32001)
386: (x,y) = (62.1523,6.52906)
387: (x,y) = (60.1769,6.84193)
388: (x,y) = (60.4206,4.85684)
389: (x,y) = (59.3022,3.19876)
390: (x,y) = (57.3704,2.68113)
391: (x,y) = (55.9811,1.24245)
392: (x,y) = (54.5184,2.60644)
393: (x,y) = (52.8603,1.48806)
394: (x,y) = (54.8454,1.24432)
395: (x,y) = (56.8426,1.13965)
396: (x,y) = (56.2914,3.06217)
397: (x,y) = (56.2565,1.06247)
398: (x,y) = (54.9182,-0.423815)
399: (x,y) = (52.9194,-0.493614)
400: (x,y) = (53.1978,-2.47415)
401: (x,y) = (54.7521,-1.21551)
402: (x,y) = (56.0376,0.31658)
403: (x,y) = (56.9456,-1.46543)
404: (x,y) = (55.6335,0.0439857)
405: (x,y) = (55.7033,-1.9548)
406: (x,y) = (55.2195,-3.89539)
407: (x,y) = (53.71,-2.58327)
408: (x,y) = (55.0994,-1.14459)
409: (x,y) = (53.6607,-2.53391)
410: (x,y) = (54.9193,-0.979615)
411: (x,y) = (56.8756,-0.563791)
412: (x,y) = (55.1097,-1.50273)
413: (x,y) = (55.6274,0.429117)
414: (x,y) = (56.9913,1.89182)
415: (x,y) = (57.8366,0.0792092)
416: (x,y) = (58.4546,1.98132)
417: (x,y) = (59.6582,3.57859)
418: (x,y) = (59.107,5.50112)
419: (x,y) = (61.0766,5.15382)
420: (x,y) = (59.1856,5.80496)
421: (x,y) = (57.1965,6.01401)
422: (x,y) = (57.2663,8.0128)
423: (x,y) = (58.2053,6.2469)
424: (x,y) = (57.858,4.27728)
425: (x,y) = (58.1363,6.25782)
426: (x,y) = (56.18,6.67364)
427: (x,y) = (55.1202,4.97755)
428: (x,y) = (57.0955,4.66468)
429: (x,y) = (58.7136,5.84025)
430: (x,y) = (59.7136,7.5723)
431: (x,y) = (58.1593,8.83094)
432: (x,y) = (58.6769,10.7628)
433: (x,y) = (57.9602,12.63)
434: (x,y) = (58.376,14.5862)
435: (x,y) = (56.594,13.6783)
436: (x,y) = (56.0764,11.7464)
437: (x,y) = (54.2788,10.8697)
438: (x,y) = (52.7028,9.63835)
439: (x,y) = (50.7177,9.88209)
440: (x,y) = (51.8069,8.20475)
441: (x,y) = (50.2526,9.46339)
442: (x,y) = (48.2636,9.25433)
443: (x,y) = (46.5144,10.224)
444: (x,y) = (46.5842,12.2227)
445: (x,y) = (45.3805,10.6255)
446: (x,y) = (46.8668,9.2872)
447: (x,y) = (44.9758,9.93834)
448: (x,y) = (43.1214,10.6876)
449: (x,y) = (44.0294,8.90554)
450: (x,y) = (45.8704,9.687)
451: (x,y) = (47.3798,8.37488)
452: (x,y) = (46.6631,10.242)
453: (x,y) = (45.9464,12.1092)
454: (x,y) = (44.6608,13.6413)
455: (x,y) = (46.624,14.0229)
456: (x,y) = (47.4693,15.8355)
457: (x,y) = (48.4082,14.0696)
458: (x,y) = (47.7242,12.1902)
459: (x,y) = (48.3422,10.2881)
460: (x,y) = (50.1398,9.41139)
461: (x,y) = (48.141,9.34159)
462: (x,y) = (48.8251,11.221)
463: (x,y) = (49.2067,9.25772)
464: (x,y) = (47.2748,9.77536)
465: (x,y) = (49.1542,10.4594)
466: (x,y) = (51.1542,10.4594)
467: (x,y) = (52.1238,12.2086)
468: (x,y) = (50.7598,10.7459)
469: (x,y) = (49.2055,9.48729)
470: (x,y) = (48.03,7.86926)
471: (x,y) = (49.5163,9.20752)
472: (x,y) = (48.2849,7.6315)
473: (x,y) = (49.0341,5.77713)
474: (x,y) = (49.8794,7.58974)
475: (x,y) = (51.4337,6.3311)
476: (x,y) = (53.0309,7.53473)
477: (x,y) = (54.858,8.34821)
478: (x,y) = (56.8471,8.13915)
479: (x,y) = (54.9152,7.62151)
480: (x,y) = (56.4695,6.36287)
481: (x,y) = (58.3821,6.94762)
482: (x,y) = (60.1641,7.8556)
483: (x,y) = (60.7822,9.75771)
484: (x,y) = (62.7822,9.75771)
485: (x,y) = (60.9412,10.5392)
486: (x,y) = (62.3554,9.12496)
487: (x,y) = (63.2943,7.35906)
488: (x,y) = (63.12,9.35145)
489: (x,y) = (63.5699,11.3002)
490: (x,y) = (62.1806,9.86151)
491: (x,y) = (63.2107,8.14718)
492: (x,y) = (62.8634,6.17756)
493: (x,y) = (63.7401,4.37997)
494: (x,y) = (62.2538,3.04171)
495: (x,y) = (63.0991,4.85433)
496: (x,y) = (64.5618,3.49033)
497: (x,y) = (63.0991,2.12634)
498: (x,y) = (65.0978,2.05654)
499: (x,y) = (66.2162,3.71461)
500: (x,y) = (67.6055,2.27593)
501: (x,y) = (66.4019,0.678661)
502: (x,y) = (68.134,-0.321339)
503: (x,y) = (66.1449,-0.530396)
504: (x,y) = (67.7422,0.673234)
505: (x,y) = (69.3805,1.82039)
506: (x,y) = (71.2715,2.47152)
507: (x,y) = (71.7892,4.40337)
508: (x,y) = (72.8193,6.11771)
509: (x,y) = (74.768,6.56761)
510: (x,y) = (73.192,7.79893)
511: (x,y) = (72.5739,5.89682)
512: (x,y) = (72.2956,3.91629)
513: (x,y) = (70.3323,4.2979)
514: (x,y) = (68.4098,3.74663)
515: (x,y) = (66.9956,5.16084)
516: (x,y) = (65.0935,4.54281)
517: (x,y) = (63.3276,5.48175)
518: (x,y) = (63.9123,7.39436)
519: (x,y) = (64.6938,5.55335)
520: (x,y) = (63.3817,4.04393)
521: (x,y) = (64.3513,2.29469)
522: (x,y) = (63.1757,0.676659)
523: (x,y) = (65.1754,0.711563)
524: (x,y) = (64.5574,2.61368)
525: (x,y) = (66.2717,1.5836)
526: (x,y) = (67.0532,3.42461)
527: (x,y) = (67.9612,1.6426)
528: (x,y) = (68.8379,3.44018)
529: (x,y) = (69.6831,5.2528)
530: (x,y) = (71.6682,5.00906)
531: (x,y) = (70.9842,3.12968)
532: (x,y) = (69.0146,3.47697)
533: (x,y) = (70.6119,2.27334)
534: (x,y) = (71.8432,0.697321)
535: (x,y) = (70.0773,-0.241622)
536: (x,y) = (68.7917,-1.77371)
537: (x,y) = (70.4878,-2.83355)
538: (x,y) = (68.6752,-1.98831)
539: (x,y) = (66.7731,-1.37028)
540: (x,y) = (65.0957,-2.45956)
541: (x,y) = (63.1325,-2.07794)
542: (x,y) = (64.308,-0.459905)
543: (x,y) = (66.2643,-0.875728)
544: (x,y) = (64.55,-1.9058)
545: (x,y) = (63.8989,-3.79684)
546: (x,y) = (62.8096,-2.1195)
547: (x,y) = (64.1217,-0.610081)
548: (x,y) = (64.296,-2.60247)
549: (x,y) = (62.3735,-3.15375)
550: (x,y) = (60.7352,-4.3009)
551: (x,y) = (59.1172,-3.12533)
552: (x,y) = (61.1023,-2.88159)
553: (x,y) = (62.6565,-4.14023)
554: (x,y) = (60.9985,-3.02184)
555: (x,y) = (60.1532,-1.20923)
556: (x,y) = (58.2511,-0.591194)
557: (x,y) = (58.4254,1.4012)
558: (x,y) = (59.6568,2.97722)
559: (x,y) = (58.2674,1.53854)
560: (x,y) = (60.1218,2.28775)
561: (x,y) = (60.3655,0.302658)
562: (x,y) = (59.4888,2.10025)
563: (x,y) = (57.5401,1.65034)
564: (x,y) = (56.7909,3.50471)
565: (x,y) = (57.6361,5.31733)
566: (x,y) = (57.7408,3.32007)
567: (x,y) = (59.6534,2.73532)
568: (x,y) = (59.4791,0.742935)
569: (x,y) = (60.4791,-0.989116)
570: (x,y) = (58.8408,0.158037)
571: (x,y) = (57.9018,1.92393)
572: (x,y) = (59.7928,1.2728)
573: (x,y) = (60.444,3.16383)
574: (x,y) = (59.8927,5.08636)
575: (x,y) = (60.7695,6.88394)
576: (x,y) = (58.8289,6.4001)
577: (x,y) = (58.4472,8.36336)
578: (x,y) = (57.6338,10.1904)
579: (x,y) = (56.9826,12.0815)
580: (x,y) = (55.0194,12.4631)
581: (x,y) = (53.1522,11.7464)
582: (x,y) = (51.9766,13.3644)
583: (x,y) = (49.9794,13.4691)
584: (x,y) = (51.6375,14.5875)
585: (x,y) = (50.0194,15.763)
586: (x,y) = (48.0969,16.3143)
587: (x,y) = (46.1843,15.7296)
588: (x,y) = (44.8722,14.2201)
589: (x,y) = (44.9071,16.2198)
590: (x,y) = (45.8151,18.0018)
591: (x,y) = (45.1639,16.1108)
592: (x,y) = (47.153,16.3199)
593: (x,y) = (48.3843,17.8959)
594: (x,y) = (49.823,16.5066)
595: (x,y) = (51.7984,16.1937)
596: (x,y) = (53.7616,15.8121)
597: (x,y) = (53.38,17.7753)
598: (x,y) = (51.5824,16.8986)
599: (x,y) = (51.0311,14.9761)
600: (x,y) = (51.1358,12.9788)
601: (x,y) = (49.6731,11.6148)
602: (x,y) = (48.7963,9.81723)
603: (x,y) = (48.2787,7.88538)
604: (x,y) = (49.0922,6.05829)
605: (x,y) = (51.0676,5.74542)
606: (x,y) = (52.577,4.4333)
607: (x,y) = (51.3183,5.98759)
608: (x,y) = (51.2485,7.98637)
609: (x,y) = (52.3957,6.34807)
610: (x,y) = (51.7117,8.22746)
611: (x,y) = (51.4333,6.24692)
612: (x,y) = (49.7752,7.36531)
613: (x,y) = (48.6568,5.70723)
614: (x,y) = (49.969,4.19781)
615: (x,y) = (51.1726,5.79508)
616: (x,y) = (53.052,6.47912)
617: (x,y) = (55.0007,6.02922)
618: (x,y) = (54.3167,4.14984)
619: (x,y) = (53.2866,5.86417)
620: (x,y) = (53.7704,7.80476)
621: (x,y) = (51.7781,7.63045)
622: (x,y) = (50.9328,5.81783)
623: (x,y) = (52.347,4.40362)
624: (x,y) = (51.6959,6.29466)
625: (x,y) = (49.8287,5.57792)
626: (x,y) = (51.0043,3.95989)
627: (x,y) = (50.726,5.94042)
628: (x,y) = (48.7336,6.11474)
629: (x,y) = (46.9677,7.05368)
630: (x,y) = (45.529,5.66436)
631: (x,y) = (45.5988,7.66314)
632: (x,y) = (47.5306,8.18078)
633: (x,y) = (46.8795,10.0718)
634: (x,y) = (48.7921,9.48708)
635: (x,y) = (46.7924,9.45217)
636: (x,y) = (48.5583,8.51323)
637: (x,y) = (46.5659,8.68754)
638: (x,y) = (44.5671,8.61774)
639: (x,y) = (45.4439,6.82015)
640: (x,y) = (44.4439,8.5522)
641: (x,y) = (45.2254,6.71119)
642: (x,y) = (45.9094,8.59058)
643: (x,y) = (44.4,9.9027)
644: (x,y) = (42.4367,10.2843)
645: (x,y) = (44.3039,11.0011)
646: (x,y) = (42.3476,10.5852)
647: (x,y) = (43.2865,12.3511)
648: (x,y) = (45.2619,12.664)
649: (x,y) = (46.6512,11.2253)
650: (x,y) = (44.654,11.1206)
651: (x,y) = (46.1167,9.75664)
652: (x,y) = (44.6072,11.0688)
653: (x,y) = (45.3565,12.9231)
654: (x,y) = (45.4263,10.9243)
655: (x,y) = (44.3962,12.6387)
656: (x,y) = (42.8202,13.87)
657: (x,y) = (41.2441,12.6387)
658: (x,y) = (39.6899,11.38)
659: (x,y) = (41.1526,10.016)
660: (x,y) = (40.2136,8.25015)
661: (x,y) = (40.4227,10.2392)
662: (x,y) = (40.6664,8.2541)
663: (x,y) = (39.4078,9.80839)
664: (x,y) = (40.253,11.621)
665: (x,y) = (39.9401,9.64563)
666: (x,y) = (37.9429,9.54096)
667: (x,y) = (39.5401,10.7446)
668: (x,y) = (40.024,12.6852)
669: (x,y) = (42.0164,12.8595)
670: (x,y) = (43.7984,11.9515)
671: (x,y) = (44.5476,13.8059)
672: (x,y) = (42.578,14.1532)
673: (x,y) = (44.0167,15.5425)
674: (x,y) = (42.2347,14.6345)
675: (x,y) = (40.5386,13.5747)
676: (x,y) = (41.4465,11.7927)
677: (x,y) = (41.4814,9.79296)
678: (x,y) = (41.621,7.79784)
679: (x,y) = (42.7965,6.1798)
680: (x,y) = (41.3823,4.76559)
681: (x,y) = (43.0967,3.73551)
682: (x,y) = (42.8876,1.74647)
683: (x,y) = (41.7983,0.0691272)
684: (x,y) = (41.7983,-1.93087)
685: (x,y) = (43.1366,-0.444583)
686: (x,y) = (45.1354,-0.514382)
687: (x,y) = (46.3667,1.06164)
688: (x,y) = (44.8573,2.37376)
689: (x,y) = (44.8922,4.37345)
690: (x,y) = (43.9226,2.62421)
691: (x,y) = (45.7897,3.34095)
692: (x,y) = (47.2039,4.75516)
693: (x,y) = (45.3496,5.50438)
694: (x,y) = (47.1906,6.28584)
695: (x,y) = (46.5065,8.16522)
696: (x,y) = (47.2233,6.29806)
697: (x,y) = (47.6391,8.25436)
698: (x,y) = (45.9617,9.34364)
699: (x,y) = (44.9317,7.6293)
700: (x,y) = (45.1754,9.61439)
