Target Distance: 100, Step Size: 1
123: (x,y) = (-1.00304,-6.40716)
124: (x,y) = (-1.59082,-5.59815)
125: (x,y) = (-0.761784,-6.15734)
126: (x,y) = (-0.146123,-6.94535)
127: (x,y) = (0.573217,-7.64001)
128: (x,y) = (-0.181492,-8.29607)
129: (x,y) = (0.0434587,-7.3217)
130: (x,y) = (0.558497,-8.17887)
131: (x,y) = (0.965233,-9.09241)
132: (x,y) = (1.24087,-8.13115)
133: (x,y) = (1.48279,-7.16085)
134: (x,y) = (0.763453,-6.4662)
135: (x,y) = (1.08902,-5.52068)
136: (x,y) = (1.27983,-6.5023)
137: (x,y) = (0.706254,-5.68315)
138: (x,y) = (1.34904,-6.4492)
139: (x,y) = (1.27928,-7.44676)
140: (x,y) = (2.18559,-7.02414)
141: (x,y) = (1.1979,-6.86771)
142: (x,y) = (0.368867,-7.4269)
143: (x,y) = (0.984528,-8.21491)
144: (x,y) = (1.8417,-8.72995)
145: (x,y) = (2.5488,-8.02284)
146: (x,y) = (3.545,-8.11)
147: (x,y) = (2.9858,-7.28096)
148: (x,y) = (3.9858,-7.28096)
149: (x,y) = (4.90631,-7.67169)
150: (x,y) = (5.40631,-8.53772)
151: (x,y) = (4.60767,-9.13953)
152: (x,y) = (3.78852,-9.71311)
153: (x,y) = (4.70903,-10.1038)
154: (x,y) = (4.45021,-9.13791)
155: (x,y) = (3.62117,-9.69711)
156: (x,y) = (2.62497,-9.60995)
157: (x,y) = (2.90061,-10.5712)
158: (x,y) = (1.9158,-10.3976)
159: (x,y) = (2.72482,-9.80978)
160: (x,y) = (3.72345,-9.75744)
161: (x,y) = (4.67976,-10.0498)
162: (x,y) = (5.55438,-10.5346)
163: (x,y) = (6.1837,-11.3118)
164: (x,y) = (6.69873,-10.4546)
165: (x,y) = (6.40636,-9.4983)
166: (x,y) = (7.34605,-9.15628)
167: (x,y) = (6.49801,-9.6862)
168: (x,y) = (6.25608,-8.7159)
169: (x,y) = (7.1307,-9.20071)
170: (x,y) = (8.11839,-9.35715)
171: (x,y) = (7.48907,-8.58)
172: (x,y) = (6.70106,-7.96434)
173: (x,y) = (5.79475,-8.38696)
174: (x,y) = (6.42407,-9.1641)
175: (x,y) = (7.38038,-9.45648)
176: (x,y) = (6.85046,-8.60843)
177: (x,y) = (7.42404,-9.42758)
178: (x,y) = (7.11502,-8.47652)
179: (x,y) = (6.5851,-7.62847)
180: (x,y) = (6.79301,-8.60662)
181: (x,y) = (6.96666,-9.59143)
182: (x,y) = (6.10949,-10.1065)
183: (x,y) = (7.0943,-9.93282)
184: (x,y) = (6.46498,-9.15567)
185: (x,y) = (7.19633,-9.83767)
186: (x,y) = (6.47699,-10.5323)
187: (x,y) = (7.03619,-11.3614)
188: (x,y) = (6.61357,-10.4551)
189: (x,y) = (6.54381,-11.4526)
190: (x,y) = (7.4835,-11.7946)
191: (x,y) = (7.01403,-10.9117)
192: (x,y) = (6.67201,-11.8514)
193: (x,y) = (5.67338,-11.9037)
194: (x,y) = (6.06411,-10.9832)
195: (x,y) = (5.06427,-11.0007)
196: (x,y) = (4.11321,-10.6917)
197: (x,y) = (4.16555,-9.69303)
198: (x,y) = (4.99458,-9.13383)
199: (x,y) = (4.94225,-10.1325)
200: (x,y) = (5.28427,-11.0722)
201: (x,y) = (6.19058,-10.6495)
202: (x,y) = (6.99959,-10.0618)
203: (x,y) = (7.55879,-10.8908)
204: (x,y) = (7.35087,-9.91264)
205: (x,y) = (8.32117,-10.1546)
206: (x,y) = (8.63019,-11.1056)
207: (x,y) = (8.50832,-10.1131)
208: (x,y) = (7.55201,-9.8207)
209: (x,y) = (7.51711,-10.8201)
210: (x,y) = (7.49966,-9.82025)
211: (x,y) = (7.58682,-8.82405)
212: (x,y) = (6.59655,-8.96322)
213: (x,y) = (7.14119,-9.80189)
214: (x,y) = (7.97986,-10.3465)
215: (x,y) = (8.71121,-11.0285)
216: (x,y) = (8.04208,-10.2854)
217: (x,y) = (8.49607,-9.39438)
218: (x,y) = (8.33964,-10.3821)
219: (x,y) = (7.94891,-11.3026)
220: (x,y) = (8.81493,-11.8026)
221: (x,y) = (8.4242,-10.8821)
222: (x,y) = (9.42039,-10.7949)
223: (x,y) = (8.65435,-11.4377)
224: (x,y) = (7.67272,-11.2469)
225: (x,y) = (8.23192,-12.0759)
226: (x,y) = (8.28425,-13.0746)
227: (x,y) = (9.15887,-13.5594)
228: (x,y) = (9.037,-14.5519)
229: (x,y) = (9.63882,-15.3506)
230: (x,y) = (9.2968,-14.4109)
231: (x,y) = (8.3265,-14.6528)
232: (x,y) = (7.41296,-15.0595)
233: (x,y) = (6.57429,-14.5149)
234: (x,y) = (7.55909,-14.3412)
235: (x,y) = (6.55925,-14.3238)
236: (x,y) = (7.55544,-14.2366)
237: (x,y) = (8.02491,-15.1196)
238: (x,y) = (7.17686,-14.5896)
239: (x,y) = (6.19872,-14.3817)
240: (x,y) = (5.29992,-14.8201)
241: (x,y) = (4.78488,-15.6773)
242: (x,y) = (4.21131,-14.8581)
243: (x,y) = (5.04035,-14.2989)
244: (x,y) = (4.04095,-14.3338)
245: (x,y) = (4.86011,-14.9074)
246: (x,y) = (4.12875,-15.5894)
247: (x,y) = (3.13423,-15.6939)
248: (x,y) = (4.01718,-15.2245)
249: (x,y) = (5.01474,-15.2942)
250: (x,y) = (5.30711,-14.3379)
251: (x,y) = (6.30651,-14.3728)
252: (x,y) = (7.25756,-14.6818)
253: (x,y) = (7.90035,-15.4479)
254: (x,y) = (7.90035,-14.4479)
255: (x,y) = (7.02573,-13.9631)
256: (x,y) = (6.75009,-14.9243)
257: (x,y) = (7.74766,-14.8546)
258: (x,y) = (8.74218,-14.9591)
259: (x,y) = (9.6082,-14.4591)
260: (x,y) = (8.60957,-14.5114)
261: (x,y) = (8.35075,-13.5455)
262: (x,y) = (7.63142,-14.2402)
263: (x,y) = (7.45777,-15.225)
264: (x,y) = (6.89857,-14.3959)
265: (x,y) = (6.31079,-15.205)
266: (x,y) = (6.96685,-15.9597)
267: (x,y) = (7.9667,-15.9422)
268: (x,y) = (8.6738,-15.2351)
269: (x,y) = (8.51737,-14.2474)
270: (x,y) = (7.53574,-14.0566)
271: (x,y) = (7.21017,-15.0021)
272: (x,y) = (8.13736,-15.3767)
273: (x,y) = (7.16706,-15.1348)
274: (x,y) = (6.23988,-14.7602)
275: (x,y) = (7.07855,-14.2156)
276: (x,y) = (6.42249,-13.4609)
277: (x,y) = (7.35607,-13.1025)
278: (x,y) = (6.57892,-13.7318)
279: (x,y) = (5.63923,-13.3898)
280: (x,y) = (5.29721,-14.3295)
281: (x,y) = (4.33128,-14.0707)
282: (x,y) = (5.19731,-13.5707)
283: (x,y) = (4.58165,-14.3587)
284: (x,y) = (4.15903,-13.4524)
285: (x,y) = (5.15158,-13.5742)
286: (x,y) = (4.89276,-14.5402)
287: (x,y) = (4.42329,-15.4231)
288: (x,y) = (3.76723,-16.1778)
289: (x,y) = (3.40886,-17.1114)
290: (x,y) = (3.44376,-18.1108)
291: (x,y) = (3.68568,-19.0811)
292: (x,y) = (2.99102,-19.8004)
293: (x,y) = (3.98129,-19.6613)
294: (x,y) = (2.98373,-19.731)
295: (x,y) = (2.24058,-20.4001)
296: (x,y) = (1.83384,-19.4866)
297: (x,y) = (2.82639,-19.3647)
298: (x,y) = (2.09504,-20.0467)
299: (x,y) = (1.16146,-19.6884)
300: (x,y) = (0.885819,-18.7271)
301: (x,y) = (0.78129,-19.7216)
302: (x,y) = (1.00624,-20.696)
303: (x,y) = (1.73759,-21.378)
304: (x,y) = (2.06316,-20.4325)
305: (x,y) = (2.74516,-21.1638)
306: (x,y) = (3.72997,-21.3375)
307: (x,y) = (4.00561,-20.3762)
308: (x,y) = (3.10681,-20.8146)
309: (x,y) = (3.26325,-19.8269)
310: (x,y) = (2.67546,-20.6359)
311: (x,y) = (2.57093,-19.6414)
312: (x,y) = (2.1642,-20.5549)
313: (x,y) = (1.43284,-19.8729)
314: (x,y) = (0.49315,-20.2149)
315: (x,y) = (-0.094635,-21.024)
316: (x,y) = (-0.737423,-20.2579)
317: (x,y) = (-0.824578,-19.2617)
318: (x,y) = (0.153569,-19.4696)
319: (x,y) = (1.15342,-19.4871)
320: (x,y) = (0.354781,-20.0889)
321: (x,y) = (-0.314349,-19.3458)
322: (x,y) = (-0.0893981,-20.3201)
323: (x,y) = (0.617709,-21.0272)
324: (x,y) = (1.59586,-20.8193)
325: (x,y) = (2.53555,-21.1613)
326: (x,y) = (1.53616,-21.1264)
327: (x,y) = (2.53555,-21.1613)
328: (x,y) = (3.50992,-21.3863)
329: (x,y) = (4.26463,-20.7302)
330: (x,y) = (5.13065,-20.2302)
331: (x,y) = (5.95969,-20.7894)
332: (x,y) = (6.54748,-21.5984)
333: (x,y) = (7.22948,-22.3298)
334: (x,y) = (6.32317,-21.9072)
335: (x,y) = (5.9648,-22.8408)
336: (x,y) = (5.89504,-23.8383)
337: (x,y) = (6.85135,-23.546)
338: (x,y) = (7.64998,-24.1478)
339: (x,y) = (7.27538,-23.2206)
340: (x,y) = (7.1362,-22.2303)
341: (x,y) = (6.18515,-22.5393)
342: (x,y) = (6.34158,-21.5516)
343: (x,y) = (5.54295,-22.1535)
344: (x,y) = (4.65194,-22.6075)
345: (x,y) = (4.84275,-23.5891)
346: (x,y) = (5.64138,-24.1909)
347: (x,y) = (6.56189,-24.5816)
348: (x,y) = (6.20352,-25.5152)
349: (x,y) = (6.85958,-26.2699)
350: (x,y) = (5.97663,-26.7394)
351: (x,y) = (6.90382,-27.114)
352: (x,y) = (7.61092,-27.8211)
353: (x,y) = (6.95486,-27.0664)
354: (x,y) = (7.3456,-27.9869)
355: (x,y) = (8.18427,-28.5315)
356: (x,y) = (9.14057,-28.8239)
357: (x,y) = (8.7822,-27.8903)
358: (x,y) = (9.60135,-28.4639)
359: (x,y) = (10.476,-28.9487)
360: (x,y) = (11.3823,-28.5261)
361: (x,y) = (12.3785,-28.6133)
362: (x,y) = (11.3968,-28.4224)
363: (x,y) = (12.2715,-28.9073)
364: (x,y) = (11.2715,-28.9073)
365: (x,y) = (12.0805,-29.495)
366: (x,y) = (11.3144,-30.1378)
367: (x,y) = (12.0576,-30.807)
368: (x,y) = (13.0031,-31.1325)
369: (x,y) = (12.0045,-31.1849)
370: (x,y) = (12.5491,-32.0235)
371: (x,y) = (13.2052,-32.7782)
372: (x,y) = (12.9128,-33.7345)
373: (x,y) = (13.8263,-33.3278)
374: (x,y) = (12.8482,-33.1199)
375: (x,y) = (13.7311,-33.5894)
376: (x,y) = (12.7325,-33.537)
377: (x,y) = (12.0765,-32.7823)
378: (x,y) = (12.7058,-33.5595)
379: (x,y) = (13.1125,-32.6459)
380: (x,y) = (13.8072,-33.3653)
381: (x,y) = (12.8867,-32.9745)
382: (x,y) = (12.9912,-33.9691)
383: (x,y) = (12.9737,-34.9689)
384: (x,y) = (12.0282,-34.6433)
385: (x,y) = (11.1622,-35.1433)
386: (x,y) = (10.8532,-34.1923)
387: (x,y) = (11.8144,-33.9166)
388: (x,y) = (10.8401,-34.1416)
389: (x,y) = (11.4279,-34.9506)
390: (x,y) = (10.6507,-35.5799)
391: (x,y) = (9.8627,-36.1956)
392: (x,y) = (8.87016,-36.0737)
393: (x,y) = (9.75311,-35.6042)
394: (x,y) = (10.2379,-34.7296)
395: (x,y) = (11.2324,-34.8342)
396: (x,y) = (10.5131,-35.5288)
397: (x,y) = (10.7039,-36.5104)
398: (x,y) = (11.373,-37.2536)
399: (x,y) = (10.4667,-37.6762)
400: (x,y) = (11.3872,-38.0669)
401: (x,y) = (11.1284,-39.0329)
402: (x,y) = (12.003,-38.5481)
403: (x,y) = (11.7951,-37.5699)
404: (x,y) = (10.9205,-37.0851)
405: (x,y) = (9.9642,-37.3775)
406: (x,y) = (10.223,-36.4115)
407: (x,y) = (11.0802,-36.9266)
408: (x,y) = (10.1466,-37.2849)
409: (x,y) = (9.90468,-38.2552)
410: (x,y) = (9.85235,-39.2539)
411: (x,y) = (10.7434,-38.7999)
412: (x,y) = (11.019,-39.7611)
413: (x,y) = (10.0214,-39.8309)
414: (x,y) = (10.4754,-40.7219)
415: (x,y) = (11.2301,-41.378)
416: (x,y) = (11.1604,-42.3755)
417: (x,y) = (11.2822,-43.3681)
418: (x,y) = (12.1885,-43.7907)
419: (x,y) = (12.0321,-42.803)
420: (x,y) = (11.3008,-43.485)
421: (x,y) = (10.3348,-43.7438)
422: (x,y) = (9.35003,-43.9175)
423: (x,y) = (10.1487,-43.3157)
424: (x,y) = (10.0615,-42.3195)
425: (x,y) = (9.73594,-43.265)
426: (x,y) = (9.61407,-44.2575)
427: (x,y) = (10.3801,-44.9003)
428: (x,y) = (11.0872,-44.1932)
429: (x,y) = (10.2681,-44.7668)
430: (x,y) = (11.0667,-44.165)
431: (x,y) = (10.7911,-45.1262)
432: (x,y) = (11.7474,-45.4186)
433: (x,y) = (12.1541,-44.5051)
434: (x,y) = (13.1517,-44.5748)
435: (x,y) = (12.457,-43.8555)
436: (x,y) = (12.3525,-44.85)
437: (x,y) = (12.8971,-45.6887)
438: (x,y) = (12.6722,-44.7143)
439: (x,y) = (13.5927,-45.105)
440: (x,y) = (13.9017,-44.154)
441: (x,y) = (13.4477,-45.045)
442: (x,y) = (14.4453,-44.9752)
443: (x,y) = (15.4447,-45.0101)
444: (x,y) = (15.8354,-44.0896)
445: (x,y) = (14.8428,-43.9677)
446: (x,y) = (15.5742,-44.6497)
447: (x,y) = (14.6679,-45.0724)
448: (x,y) = (14.6504,-44.0725)
449: (x,y) = (13.6892,-43.7969)
450: (x,y) = (12.6916,-43.7271)
451: (x,y) = (11.6971,-43.8316)
452: (x,y) = (12.6969,-43.8491)
453: (x,y) = (13.6915,-43.7446)
454: (x,y) = (13.6043,-42.7484)
455: (x,y) = (13.5171,-41.7522)
456: (x,y) = (12.8744,-40.9861)
457: (x,y) = (13.8738,-41.021)
458: (x,y) = (14.4473,-40.2019)
459: (x,y) = (13.4511,-40.1147)
460: (x,y) = (13.5209,-39.1172)
461: (x,y) = (13.486,-38.1178)
462: (x,y) = (13.8444,-37.1842)
463: (x,y) = (14.2027,-36.2506)
464: (x,y) = (15.0599,-35.7356)
465: (x,y) = (15.5139,-36.6266)
466: (x,y) = (15.7727,-35.6607)
467: (x,y) = (16.1953,-36.567)
468: (x,y) = (15.8046,-35.6465)
469: (x,y) = (14.8047,-35.629)
470: (x,y) = (13.9957,-35.0412)
471: (x,y) = (12.9995,-35.1284)
472: (x,y) = (13.469,-34.2454)
473: (x,y) = (12.621,-33.7155)
474: (x,y) = (11.6223,-33.7678)
475: (x,y) = (12.6222,-33.7504)
476: (x,y) = (13.4102,-34.3661)
477: (x,y) = (14.3883,-34.1581)
478: (x,y) = (13.4895,-34.5965)
479: (x,y) = (13.7484,-35.5624)
480: (x,y) = (12.7508,-35.4927)
481: (x,y) = (12.4752,-36.4539)
482: (x,y) = (12.1168,-35.5204)
483: (x,y) = (12.7859,-34.7772)
484: (x,y) = (12.6295,-35.7649)
485: (x,y) = (12.8203,-34.7833)
486: (x,y) = (12.0217,-34.1815)
487: (x,y) = (12.8788,-33.6664)
488: (x,y) = (13.1038,-32.6921)
489: (x,y) = (13.4458,-31.7524)
490: (x,y) = (13.6537,-30.7742)
491: (x,y) = (14.4729,-30.2006)
492: (x,y) = (15.3019,-29.6415)
493: (x,y) = (16.2474,-29.3159)
494: (x,y) = (16.0055,-28.3456)
495: (x,y) = (16.4281,-27.4393)
496: (x,y) = (15.4378,-27.5785)
497: (x,y) = (14.4378,-27.5785)
498: (x,y) = (13.8222,-28.3665)
499: (x,y) = (14.3372,-29.2236)
500: (x,y) = (13.7079,-30.0008)
501: (x,y) = (14.6692,-29.7251)
502: (x,y) = (15.6686,-29.76)
503: (x,y) = (14.7026,-29.5012)
504: (x,y) = (13.7367,-29.2424)
505: (x,y) = (12.7369,-29.2599)
506: (x,y) = (13.5249,-28.6442)
507: (x,y) = (12.923,-27.8456)
508: (x,y) = (13.3457,-26.9392)
509: (x,y) = (12.9073,-27.838)
510: (x,y) = (13.1492,-28.8083)
511: (x,y) = (12.7425,-27.8948)
512: (x,y) = (11.9993,-27.2257)
513: (x,y) = (12.8185,-26.6521)
514: (x,y) = (11.8674,-26.3431)
515: (x,y) = (11.8849,-27.3429)
516: (x,y) = (11.4781,-26.4294)
517: (x,y) = (12.0517,-27.2485)
518: (x,y) = (11.0572,-27.144)
519: (x,y) = (11.4956,-26.2452)
520: (x,y) = (12.4615,-25.9864)
521: (x,y) = (12.1525,-26.9374)
522: (x,y) = (11.996,-25.9497)
523: (x,y) = (12.1869,-26.9314)
524: (x,y) = (11.3882,-26.3296)
525: (x,y) = (11.6301,-25.3593)
526: (x,y) = (12.6045,-25.5842)
527: (x,y) = (13.4875,-26.0537)
528: (x,y) = (12.8718,-25.2657)
529: (x,y) = (12.0947,-25.895)
530: (x,y) = (12.147,-26.8936)
531: (x,y) = (13.1468,-26.9111)
532: (x,y) = (12.5876,-27.7401)
533: (x,y) = (12.6225,-28.7395)
534: (x,y) = (13.4316,-28.1517)
535: (x,y) = (13.4839,-29.1504)
536: (x,y) = (14.303,-29.7239)
537: (x,y) = (14.5787,-28.7627)
538: (x,y) = (14.6136,-29.7621)
539: (x,y) = (14.4917,-30.7546)
540: (x,y) = (15.2349,-31.4237)
541: (x,y) = (14.2736,-31.6994)
542: (x,y) = (15.2299,-31.407)
543: (x,y) = (16.0779,-31.9369)
544: (x,y) = (15.4486,-32.7141)
545: (x,y) = (14.4488,-32.6966)
546: (x,y) = (14.0742,-31.7694)
547: (x,y) = (13.2862,-32.3851)
548: (x,y) = (14.2837,-32.4548)
549: (x,y) = (14.5594,-33.4161)
550: (x,y) = (14.7673,-34.3943)
551: (x,y) = (14.3133,-35.2853)
552: (x,y) = (14.9426,-34.5081)
553: (x,y) = (14.6502,-35.4644)
554: (x,y) = (13.689,-35.1888)
555: (x,y) = (12.7187,-35.4307)
556: (x,y) = (13.5758,-35.9457)
557: (x,y) = (12.7012,-35.4609)
558: (x,y) = (11.7309,-35.219)
559: (x,y) = (11.6091,-34.2265)
560: (x,y) = (11.1551,-35.1175)
561: (x,y) = (11.8242,-35.8606)
562: (x,y) = (12.6722,-36.3905)
563: (x,y) = (13.6599,-36.547)
564: (x,y) = (13.5554,-35.5524)
565: (x,y) = (14.553,-35.4827)
566: (x,y) = (14.4484,-36.4772)
567: (x,y) = (14.8392,-37.3977)
568: (x,y) = (15.0471,-36.4196)
569: (x,y) = (14.0495,-36.3498)
570: (x,y) = (13.0883,-36.6255)
571: (x,y) = (13.0534,-37.6248)
572: (x,y) = (14.0315,-37.4169)
573: (x,y) = (14.1187,-36.4207)
574: (x,y) = (13.574,-37.2594)
575: (x,y) = (13.1514,-36.3531)
576: (x,y) = (13.0469,-37.3476)
577: (x,y) = (12.2922,-38.0037)
578: (x,y) = (13.1832,-38.4577)
579: (x,y) = (12.514,-37.7145)
580: (x,y) = (11.6754,-37.1699)
581: (x,y) = (11.0736,-36.3713)
582: (x,y) = (12.0395,-36.1124)
583: (x,y) = (12.3815,-35.1727)
584: (x,y) = (13.3151,-34.8144)
585: (x,y) = (12.3151,-34.8144)
586: (x,y) = (12.2279,-35.8106)
587: (x,y) = (11.4848,-36.4797)
588: (x,y) = (10.5643,-36.8704)
589: (x,y) = (11.1089,-37.7091)
590: (x,y) = (11.875,-38.3519)
591: (x,y) = (11.9447,-37.3543)
592: (x,y) = (11.3429,-36.5557)
593: (x,y) = (10.4032,-36.2137)
594: (x,y) = (10.6282,-35.2393)
595: (x,y) = (10.541,-34.2431)
596: (x,y) = (9.57508,-33.9843)
597: (x,y) = (8.73641,-34.5289)
598: (x,y) = (9.61103,-34.0441)
599: (x,y) = (9.15704,-34.9351)
600: (x,y) = (10.0317,-34.4503)
601: (x,y) = (9.90979,-33.4578)
602: (x,y) = (9.02684,-32.9883)
603: (x,y) = (9.07918,-33.9869)
604: (x,y) = (8.08055,-34.0393)
605: (x,y) = (7.92412,-35.0269)
606: (x,y) = (8.79874,-34.5421)
607: (x,y) = (9.55345,-35.1982)
608: (x,y) = (9.02353,-34.3501)
609: (x,y) = (8.43574,-35.1592)
610: (x,y) = (8.40084,-34.1598)
611: (x,y) = (7.6237,-33.5305)
612: (x,y) = (8.62309,-33.4956)
613: (x,y) = (9.55667,-33.8539)
614: (x,y) = (9.6612,-32.8594)
615: (x,y) = (9.40238,-33.8253)
616: (x,y) = (10.2595,-33.3103)
617: (x,y) = (11.2412,-33.5011)
618: (x,y) = (12.2228,-33.6919)
619: (x,y) = (11.6492,-34.5111)
620: (x,y) = (10.688,-34.2354)
621: (x,y) = (9.68811,-34.2529)
622: (x,y) = (8.71374,-34.4778)
623: (x,y) = (7.75248,-34.2022)
624: (x,y) = (8.70354,-34.5112)
625: (x,y) = (8.72099,-35.5111)
626: (x,y) = (8.53018,-36.4927)
627: (x,y) = (7.69151,-35.948)
628: (x,y) = (7.13232,-35.119)
629: (x,y) = (6.19262,-34.777)
630: (x,y) = (6.05345,-35.7673)
631: (x,y) = (6.95225,-35.3289)
632: (x,y) = (6.74433,-36.307)
633: (x,y) = (7.01997,-37.2683)
634: (x,y) = (7.50478,-38.1429)
635: (x,y) = (8.18678,-38.8743)
636: (x,y) = (7.19423,-38.9961)
637: (x,y) = (8.04228,-39.5261)
638: (x,y) = (7.23326,-38.9383)
639: (x,y) = (6.23342,-38.9557)
640: (x,y) = (5.31291,-39.3464)
641: (x,y) = (5.00389,-38.3954)
642: (x,y) = (4.03797,-38.6542)
643: (x,y) = (4.26292,-37.6798)
644: (x,y) = (4.29782,-36.6805)
645: (x,y) = (4.45425,-37.6681)
646: (x,y) = (3.54071,-38.0749)
647: (x,y) = (3.0559,-37.2003)
648: (x,y) = (2.28985,-36.5575)
649: (x,y) = (1.31548,-36.7824)
650: (x,y) = (0.620826,-37.5018)
651: (x,y) = (-0.376738,-37.432)
652: (x,y) = (-0.76747,-38.3525)
653: (x,y) = (-0.26747,-37.4865)
654: (x,y) = (0.672223,-37.8285)
655: (x,y) = (0.0161641,-38.5832)
656: (x,y) = (0.890784,-39.068)
657: (x,y) = (0.390784,-39.934)
658: (x,y) = (0.0161772,-40.8612)
659: (x,y) = (0.854848,-41.4059)
660: (x,y) = (1.62089,-40.7631)
661: (x,y) = (0.754867,-40.2631)
662: (x,y) = (0.04776,-40.9702)
